Food code,Main food description,Seq num,Ingredient code,Ingredient weight (g)
11000000,"Milk, human",1,1107,100
11100000,"Milk, NFS",1,1077,40
11100000,"Milk, NFS",2,1079,38
11100000,"Milk, NFS",3,1082,14
11100000,"Milk, NFS",4,1085,8
11111000,"Milk, whole",1,1077,100
11112110,"Milk, reduced fat (2%)",1,1079,100
11112210,"Milk, low fat (1%)",1,1082,100
11113000,"Milk, fat free (skim)",1,1085,100
11114300,"Milk, lactose free, low fat (1%)",1,1082,100
11114320,"Milk, lactose free, fat free (skim)",1,1085,100
11114330,"Milk, lactose free, reduced fat (2%)",1,1079,100
11114350,"Milk, lactose free, whole",1,1077,100
11115000,"Buttermilk, fat free (skim)",1,1088,100
11115300,"Buttermilk, whole",1,1230,100
11115400,"Kefir, NS as to fat content",1,1289,50
11115400,"Kefir, NS as to fat content",2,1290,50
11116000,"Goat's milk, whole",1,1106,100
11120000,"Milk, dry, reconstituted, NS as to fat content",1,1154,23
11120000,"Milk, dry, reconstituted, NS as to fat content",2,14411,237
11121100,"Milk, dry, reconstituted, whole",1,1090,42.662
11121100,"Milk, dry, reconstituted, whole",2,14411,237
11121210,"Milk, dry, reconstituted, low fat (1%)",1,1154,23
11121210,"Milk, dry, reconstituted, low fat (1%)",2,14411,237
11121210,"Milk, dry, reconstituted, low fat (1%)",3,1003,2.5
11121300,"Milk, dry, reconstituted, fat free (skim)",1,1091,23
11121300,"Milk, dry, reconstituted, fat free (skim)",2,14411,237
11210050,"Milk, evaporated, NS as to fat content",1,1096,100
11211050,"Milk, evaporated, whole",1,1096,100
11211400,"Milk, evaporated, reduced fat (2%)",1,1097,100
11211400,"Milk, evaporated, reduced fat (2%)",2,1003,1.8
11212050,"Milk, evaporated, fat free (skim)",1,1097,100
11220000,"Milk, condensed, sweetened",1,1095,100
11300100,"Non-dairy milk, NFS",1,11350000,32
11300100,"Non-dairy milk, NFS",2,14091,32
11300100,"Non-dairy milk, NFS",3,16139,30
11300100,"Non-dairy milk, NFS",4,14171,6
11320000,Soy milk,1,16222,96
11320000,Soy milk,2,19335,4
11320100,"Soy milk, light",1,16222,100
11320200,"Soy milk, nonfat",1,16222,100
11321000,"Soy milk, chocolate",1,16222,93
11321000,"Soy milk, chocolate",2,19335,7
11321000,"Soy milk, chocolate",3,19165,0.3
11321100,"Soy milk, light, chocolate",1,16222,100
11321100,"Soy milk, light, chocolate",2,19165,0.3
11350000,"Almond milk, sweetened",1,14091,96
11350000,"Almond milk, sweetened",2,19335,4
11350010,"Almond milk, sweetened, chocolate",1,14091,93
11350010,"Almond milk, sweetened, chocolate",2,19335,7
11350010,"Almond milk, sweetened, chocolate",3,19165,0.3
11350020,"Almond milk, unsweetened",1,14091,100
11350030,"Almond milk, unsweetened, chocolate",1,14091,100
11350030,"Almond milk, unsweetened, chocolate",2,19165,0.3
11360000,Rice milk,1,14639,100
11370000,Coconut milk,1,14171,100
11400000,"Yogurt, NFS",1,1117,100
11400000,"Yogurt, NFS",2,999328,0.012
11400010,"Yogurt, Greek, NS as to type of milk or flavor",1,1287,100
11410000,"Yogurt, NS as to type of milk or flavor",1,1117,100
11410000,"Yogurt, NS as to type of milk or flavor",2,999328,0.012
11411010,"Yogurt, NS as to type of milk, plain",1,1117,100
11411010,"Yogurt, NS as to type of milk, plain",2,999328,0.012
11411100,"Yogurt, whole milk, plain",1,1116,100
11411100,"Yogurt, whole milk, plain",2,999328,0.011
11411200,"Yogurt, low fat milk, plain",1,1117,100
