Food code,Main food description,Additional food description
11000000,"Milk, human",
11100000,"Milk, NFS",
11111000,"Milk, whole",3.5% or 3.8% fat milk; leche fresca
11112110,"Milk, reduced fat (2%)",Hi-Protein milk; fortified milk; 1.5% fat milk
11112210,"Milk, low fat (1%)",
11113000,"Milk, fat free (skim)",nonfat milk; 0.5% or less fat
11114300,"Milk, lactose free, low fat (1%)","Lactaid; Lactaid, NS as to fat content; lactose reduced"
11114320,"Milk, lactose free, fat free (skim)",Lactaid; nonfat milk; lactose reduced
11114330,"Milk, lactose free, reduced fat (2%)",Lactaid; lactose reduced
11114350,"Milk, lactose free, whole",Lactaid whole milk; lactose reduced
11115000,"Buttermilk, fat free (skim)",nonfat buttermilk
11115300,"Buttermilk, whole",
11115400,"Kefir, NS as to fat content",fermented milk drink; plain; all flavors; Yukult
11116000,"Goat's milk, whole",
11120000,"Milk, dry, reconstituted, NS as to fat content",
11121100,"Milk, dry, reconstituted, whole",
11121210,"Milk, dry, reconstituted, low fat (1%)",
11121300,"Milk, dry, reconstituted, fat free (skim)",nonfat milk
11210050,"Milk, evaporated, NS as to fat content",
11211050,"Milk, evaporated, whole",
11211400,"Milk, evaporated, reduced fat (2%)",
11212050,"Milk, evaporated, fat free (skim)",nonfat milk
11220000,"Milk, condensed, sweetened",
11300100,"Non-dairy milk, NFS",
11320000,Soy milk,Edensoy; vanilla flavored; Silk; West Soy; Soymilk; NS as to type; Vitasoy
11320100,"Soy milk, light",vanilla flavored; Silk; Vitasoy; West Soy; Soymilk
11320200,"Soy milk, nonfat",vanilla flavored; West Soy; Soymilk
11321000,"Soy milk, chocolate",Silk; Belsoy; Soymilk
11321100,"Soy milk, light, chocolate",Silk; Vitasoy; Soymilk
11350000,"Almond milk, sweetened",vanilla flavored; NS as to sweetened; cashew
11350010,"Almond milk, sweetened, chocolate",NS as to sweetened; cashew
11350020,"Almond milk, unsweetened",unsweetened vanilla; flavors other than chocolate; cashew
11350030,"Almond milk, unsweetened, chocolate",Blue Diamond Almond Breeze; Silk PureAlmond; Almond Dream
11360000,Rice milk,Rice Dream beverage
11370000,Coconut milk,Silk PureCoconut beverage; So Delicious
11400000,"Yogurt, NFS",
11400010,"Yogurt, Greek, NS as to type of milk or flavor",
11410000,"Yogurt, NS as to type of milk or flavor",
11411010,"Yogurt, NS as to type of milk, plain",
11411100,"Yogurt, whole milk, plain",
11411200,"Yogurt, low fat milk, plain",1% fat; 2% fat; 99% fat free; light
11411300,"Yogurt, nonfat milk, plain","0% fat; fat free; light; light, NFS"
11411390,"Yogurt, Greek, NS as to type of milk, plain",
11411400,"Yogurt, Greek, whole milk, plain",
11411410,"Yogurt, Greek, low fat milk, plain",2% fat; 1% fat; 99% fat free; light
11411420,"Yogurt, Greek, nonfat milk, plain","0% fat; fat free; light; light, NFS"
11430000,"Yogurt, NS as to type of milk, fruit",
11431000,"Yogurt, whole milk, fruit",
11432000,"Yogurt, low fat milk, fruit",Go-Gurt Portable Yogurt tube; 1% fat; 2% fat; 99% fat free; light
11433000,"Yogurt, nonfat milk, fruit","0% fat; fat free; light; light, NFS"
11433990,"Yogurt, Greek, NS as to type of milk, fruit",
11434000,"Yogurt, Greek, whole milk, fruit",
11434010,"Yogurt, Greek, low fat milk, fruit",2% fat; 1% fat; 99% fat free; light; Chobani Kids Greek Yogurt Tubes
11434020,"Yogurt, Greek, nonfat milk, fruit","0% fat; fat free; light; light, NFS"
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",
11434100,"Yogurt, whole milk, flavors other than fruit",
11434200,"Yogurt, low fat milk, flavors other than fruit",1% fat; 2% fat; 99% fat free; light; Go-Gurt Portable Yogurt tube
11434300,"Yogurt, nonfat milk, flavors other than fruit","0% fat; fat free; light; light, NFS"
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",1% fat; 2% fat; 99% fat free; light; Chobani Kids Greek Yogurt Tubes
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",0% fat; fat free
11435100,"Yogurt, Greek, with oats",all types; with granola
11436000,"Yogurt, liquid",all types and flavors
11440010,"Chipotle dip, yogurt based",jalapeno dip; Southwest dip; greek yogurt based; regular or light
11440030,"Onion dip, yogurt based",French onion dip; toasted onion dip; green onion dip; greek yogurt based; regular or light
11440040,"Ranch dip, yogurt based",greek yogurt based; regular or light
11440050,"Spinach dip, yogurt based",greek yogurt based; regular or light
11440060,Tzatziki dip,Greek dip
11440070,"Vegetable dip, yogurt based",greek yogurt based; regular or light; dill
11446000,"Yogurt parfait, low fat, with fruit",McDonald's Fruit 'n Yogurt Parfait; with granola
11459990,"Frozen yogurt, NFS",
11460000,"Frozen yogurt, vanilla",other flavors; swirl; in a cup; scoop
11460100,"Frozen yogurt, chocolate",in a cup; scoop
11460500,"Frozen yogurt, soft serve, vanilla",other flavors; swirl; NS as to flavor; in a cup
11460510,"Frozen yogurt, soft serve, chocolate",in a cup
11461200,Frozen yogurt sandwich,all flavors; prepackaged frozen yogurt cone
11461210,"Frozen yogurt bar, vanilla","frozen yogurt bar, NFS; stick; other flavors; swirl; with or without coating"
11461220,"Frozen yogurt bar, chocolate",stick; with or without coating
11461250,"Frozen yogurt cone, chocolate",scooped or soft serve
11461260,"Frozen yogurt cone, vanilla",other flavors; swirl; scooped or soft serve
11461300,"Frozen yogurt cone, vanilla, waffle cone",other flavors; swirl; scooped or soft serve
11461320,"Frozen yogurt cone, chocolate, waffle cone",scooped or soft serve
11480000,"Baby Toddler food, NFS",
11480010,"Baby Toddler yogurt, plain",
11480100,"Baby Toddler yogurt, with fruit",other flavors
11511000,"Chocolate milk, NFS",NS as to milk or drink
11511100,"Chocolate milk, ready to drink, whole",
11511200,"Chocolate milk, ready to drink, reduced fat",2% fat
11511300,"Chocolate milk, ready to drink, fat free",nonfat milk; skim
11511400,"Chocolate milk, ready to drink, low fat",Hershey's Chocolate milk; 1% fat
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",TruMoo; less sugar
11511600,"Chocolate milk, ready to drink, low fat (Nesquik)","NS as to type of milk; regular, reduced, or less sugar; 1% fat"
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",NS as to type of milk; 1% fat
11512010,"Hot chocolate / Cocoa, ready to drink","whole, 2%, or reduced fat milk; NS as to milk; evaporated milk; chocolate espanol; chocolate caliente; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar"
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk","low fat, fat free, skim, or 1% milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar"
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","almond, coconut, rice, or soy milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar"
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream","whole, 2%, or reduced fat milk; NS as to milk; evaporated milk; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar"
11513100,"Chocolate milk, made from dry mix with whole milk",
11513150,"Chocolate milk, made from dry mix with reduced fat milk",2% fat
11513300,"Chocolate milk, made from dry mix with fat free milk",nonfat milk; skim milk
11513310,"Chocolate milk, made from dry mix with non-dairy milk","almond, coconut, rice, or soy milk"
11513380,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar"
11513381,"Chocolate milk, made from dry mix with whole milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar"
11513382,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar; 2% fat"
11513383,"Chocolate milk, made from dry mix with low fat milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar; 1% fat"
11513384,"Chocolate milk, made from dry mix with fat free milk (Nesquik)","nonfat milk; regular, reduced, or less sugar; 25% less sugar; skim"
11513385,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)","almond, coconut, rice, or soy milk"
11513392,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",sugar free mix; 2% fat
11513395,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)","almond, coconut, rice, or soy milk"
11513400,"Chocolate milk, made from syrup, NS as to type of milk",Nesquik; Hershey's
11513500,"Chocolate milk, made from syrup with whole milk",Nesquik; Hershey's
11513550,"Chocolate milk, made from syrup with reduced fat milk",Nesquik; Hershey's; 2% fat
11513600,"Chocolate milk, made from syrup with low fat milk",Nesquik; Hershey's; 1% fat
11513700,"Chocolate milk, made from syrup with fat free milk",nonfat milk; Nesquik; Hershey's; skim
11513750,"Chocolate milk, made from syrup with non-dairy milk","almond, coconut, rice, or soy milk"
11513801,"Chocolate milk, made from light syrup with whole milk",Hershey's Lite
11513802,"Chocolate milk, made from light syrup with reduced fat milk",Hershey's Lite; 2% fat
11513803,"Chocolate milk, made from light syrup with low fat milk",Hershey's Lite; 1% fat
11513804,"Chocolate milk, made from light syrup with fat free milk",nonfat milk; Hershey's Lite; skim fat
11513851,"Chocolate milk, made from sugar free syrup with whole milk",Hershey's
