ingredient_code,ingredient_description,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,ingredient_description_first,ingredient_description_second,ingredient_description_third
1001,"Butter, stick, salted",0.0,0,21,0.06,2,168,235,18.8,0.006,8,743,16.9,2.52,45.6,0.0,5,5,5,0,0.06,0,0,2,0.0,22,23,0.85,744,0.0,0.0,524,0.58,0,0.005,82.2,758,0.0,0.0,0.0,0.0,0.4,0.0,0.0,7.0,15.8,0.07,1.92,2.2,7.15,21.2,0.999,7.42,15.0,2.25,0.331,0.015,0.117,0.104,0.024,0.004,0.039,0.002,2.04,1.44,0.84,Butter, stick, salted
1002,"Butter, whipped, with salt",0.0,0,23,0.0,1,135,225,18.8,0.01,6,731,19.874,3.331,45.39,0.0,4,4,4,0,0.05,13,0,1,0.022,24,41,0.49,671,0.064,0.0,583,0.06,0,0.007,78.3,683,0.07,0.0,0.008,0.0,0.0,1.37,0.0,4.6,16.72,0.05,2.039,2.354,7.515,20.531,1.417,7.649,17.37,2.713,0.298,0.003,0.147,0.119,0.022,0.005,0.045,0.003,1.635,1.373,0.858,Butter, whipped, with salt
1003,"Butter oil, anhydrous",0.0,0,4,0.0,0,193,256,22.3,0.001,0,876,28.732,3.694,61.924,0.0,0,0,0,0,0.0,0,0,0,0.003,3,5,0.28,824,0.005,0.0,2,0.0,0,0.001,99.48,840,0.01,0.0,0.001,0.0,0.0,2.8,0.0,8.6,0.24,0.01,2.495,2.793,10.005,26.166,2.228,12.056,25.026,2.247,1.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.226,1.91,1.112,Butter oil, anhydrous,
1004,"Cheese, blue",0.0,0,528,2.34,0,74,75,15.4,0.04,0,353,7.778,0.8,18.669,0.0,36,36,36,0,0.31,0,0,23,1.016,387,256,21.4,192,0.382,14.5,1146,0.5,0,0.029,28.74,198,1.22,0.0,0.166,0.0,0.5,0.25,0.0,2.4,42.41,2.66,0.601,0.491,3.301,9.153,0.816,3.235,6.622,0.536,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.361,0.247,Cheese, blue,
1005,"Cheese, brick",0.0,0,674,2.79,0,76,94,15.4,0.024,0,371,8.598,0.784,18.764,0.0,20,20,20,0,0.43,0,0,24,0.118,451,136,23.24,286,0.351,14.5,560,0.51,0,0.014,29.68,292,1.26,0.0,0.065,0.0,0.5,0.26,0.0,2.5,41.11,2.6,0.585,0.482,3.227,8.655,0.817,3.455,7.401,0.491,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914,0.373,0.299,Cheese, brick,
1006,"Cheese, brie",0.0,0,184,0.45,0,9,100,15.4,0.019,0,334,8.013,0.826,17.41,0.0,65,65,65,0,0.5,0,0,20,0.38,188,152,20.75,173,0.52,14.5,629,0.45,0,0.07,27.68,174,1.65,0.0,0.235,0.0,0.5,0.24,0.0,2.3,48.42,2.38,0.673,0.504,3.065,8.246,1.007,2.88,6.563,0.513,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564,0.323,0.297,Cheese, brie,
1007,"Cheese, camembert",0.0,0,388,0.46,0,12,72,15.4,0.021,0,300,7.023,0.724,15.259,0.0,62,62,62,0,0.33,0,0,20,0.63,347,187,19.8,240,0.488,14.5,842,0.46,0,0.028,24.26,241,1.3,0.0,0.227,0.0,0.4,0.21,0.0,2.0,51.8,2.38,0.59,0.442,2.686,7.227,0.883,2.524,5.752,0.45,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.283,0.26,Cheese, camembert,
1009,"Cheese, cheddar",0.0,0,707,2.44,0,0,100,16.5,0.033,0,409,7.44,1.18,19.2,0.0,21,21,21,0,0.16,0,0,27,0.052,458,77,23.3,316,0.441,28.3,654,0.33,0,0.029,34.0,316,1.06,0.0,0.069,0.0,0.6,0.75,0.0,2.4,36.6,3.67,0.843,0.963,3.1,8.79,0.516,3.39,7.41,1.16,0.121,0.001,0.064,0.051,0.01,0.001,0.018,0.001,0.653,0.543,0.349,Cheese, cheddar,
1011,"Cheese, colby",0.0,0,685,2.57,0,82,95,15.4,0.042,0,394,9.28,0.953,20.218,0.0,18,18,18,0,0.76,0,0,26,0.093,457,127,23.76,257,0.375,14.5,604,0.52,0,0.015,32.11,264,0.83,0.0,0.079,0.0,0.6,0.28,0.0,2.7,38.2,3.07,0.597,0.422,3.831,8.232,0.979,3.63,7.813,0.676,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041,0.259,0.324,Cheese, colby,
1012,"Cheese, cottage, creamed, large or small curd",0.0,0,83,3.38,0,12,17,18.4,0.029,0,98,0.778,0.123,1.718,0.0,12,12,12,0,0.07,0,0,8,0.099,159,104,11.12,36,0.163,9.7,315,2.67,0,0.027,4.3,37,0.43,0.0,0.046,0.0,0.1,0.08,0.0,0.0,79.79,0.4,0.064,0.07,0.263,0.778,0.047,0.345,0.714,0.105,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.025,0.023,Cheese, cottage," creamed, large or small curd"
