ingredient_code,ingredient_description,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0
5000,"Chicken, broiler, rotisserie, BBQ, breast, meat only",0.0,0,13,0.0,0,0,86,59.8,0.041,0,144,1.444,0.49,0.863,0.0,8,8,11,0,0.46,0,0,25,9.634,246,284,28.04,5,0.131,23.1,328,0.0,0,0.081,3.57,5,0.27,0.0,0.314,0.0,0.0,0.32,0.0,0.0,67.78,0.87,0.0,0.0,0.018,0.69,0.238,0.15,1.194,0.451,0.027,0.0,0.009,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5015,"Chicken, broilers or fryers, skin only, raw",0.0,0,11,0.0,0,6,109,29.0,0.041,0,349,13.54,6.81,9.08,0.0,3,3,3,0,1.08,0,0,13,3.987,100,103,13.33,76,0.069,12.3,63,0.0,0,0.033,32.35,76,0.23,0.0,0.09,0.0,0.6,0.0,0.0,2.9,54.22,0.93,0.0,0.03,0.27,6.95,1.91,1.6,11.07,6.22,0.26,0.0,0.42,0.09,0.02,0.0,0.01,0.03,0.0,0.0,0.0
5018,"Chicken, broilers or fryers, skin only, cooked, roasted",0.0,0,14,0.0,0,0,83,45.7,0.064,0,454,17.03,8.57,11.42,0.0,2,2,2,0,1.51,0,0,15,5.581,125,136,20.36,78,0.127,20.0,65,0.0,0,0.036,40.68,78,0.2,0.0,0.1,0.0,0.2,0.4,0.0,2.4,40.29,1.23,0.0,0.04,0.33,8.74,2.4,2.02,13.92,7.83,0.33,0.0,0.53,0.11,0.02,0.0,0.01,0.04,0.0,0.0,0.0
5022,"Chicken, broilers or fryers, giblets, cooked, simmered",0.0,0,14,0.0,5,13,442,178.1,0.331,5,157,0.962,0.812,1.322,0.0,257,257,257,0,7.04,37,12,14,6.625,289,224,27.15,1751,1.052,59.6,67,0.0,0,0.143,4.5,1753,9.44,0.0,0.397,12.5,0.0,0.46,0.0,0.0,67.72,4.23,0.001,0.0,0.007,0.745,0.1,0.553,0.847,0.484,0.012,0.0,0.015,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5024,"Chicken, gizzard, all classes, cooked, simmered",0.0,0,17,0.0,0,0,370,104.4,0.161,0,154,0.528,0.353,0.67,0.0,5,5,5,0,3.19,0,0,3,3.12,189,179,30.39,0,0.21,41.1,56,0.0,0,0.026,2.68,0,1.04,0.0,0.071,0.0,0.0,0.2,0.0,0.0,67.93,4.42,0.0,0.0,0.0,0.408,0.074,0.238,0.443,0.223,0.007,0.0,0.011,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5027,"Chicken, liver, all classes, raw",0.0,0,8,0.73,11,56,345,194.4,0.492,11,119,1.249,1.306,1.563,0.0,588,588,588,0,8.99,0,40,19,9.728,297,230,16.92,3290,1.778,54.6,71,0.0,0,0.305,4.83,3296,16.58,0.0,0.853,17.9,0.0,0.7,0.0,0.0,76.46,2.67,0.0,0.0,0.012,0.883,0.106,0.659,1.127,0.475,0.012,0.0,0.016,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5028,"Chicken, liver, all classes, cooked, simmered",0.0,0,11,0.87,11,30,563,290.0,0.496,11,167,1.416,1.988,2.06,0.0,578,578,578,0,11.63,83,21,25,11.045,405,263,24.46,3978,1.993,82.4,76,0.0,0,0.291,6.51,3981,16.85,0.0,0.755,27.9,0.0,0.82,0.0,0.0,66.81,3.98,0.003,0.0,0.013,1.107,0.12,0.923,1.276,0.719,0.0,0.0,0.021,0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5051,"Chicken, broilers or fryers, back, meat and skin, cooked, roasted",0.0,0,21,0.0,0,0,88,62.3,0.076,0,300,8.29,4.62,5.82,0.0,6,6,6,0,1.42,0,0,20,6.718,154,210,25.95,105,0.195,22.5,87,0.0,0,0.061,20.97,105,0.27,0.0,0.27,0.0,0.1,0.27,0.0,4.9,53.52,2.25,0.0,0.04,0.16,4.27,1.15,1.18,6.84,4.04,0.18,0.0,0.2,0.17,0.02,0.0,0.03,0.06,0.0,0.0,0.0
5062,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",0.0,0,5,0.0,0,0,73,82.1,0.037,0,120,0.689,0.424,0.563,0.0,9,9,9,0,0.37,0,0,28,9.6,213,334,22.5,9,0.177,22.8,45,0.0,0,0.094,2.62,9,0.21,0.0,0.811,0.0,0.0,0.56,0.0,0.0,73.9,0.68,0.017,0.004,0.011,0.393,0.083,0.129,0.59,0.319,0.013,0.0,0.01,0.048,0.003,0.0,0.006,0.004,0.0,0.0,0.0
5069,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted",0.0,0,11,0.0,0,0,130,67.8,0.071,0,191,4.155,2.083,2.74,0.0,4,4,4,0,1.11,11,0,22,5.403,195,247,23.35,12,0.203,26.9,123,0.0,0,0.093,10.15,12,0.39,0.0,0.383,0.0,0.1,0.19,0.0,3.2,66.39,2.36,0.002,0.006,0.055,2.091,0.619,0.545,3.454,1.802,0.086,0.001,0.05,0.104,0.004,0.001,0.01,0.007,0.0,0.001,0.002
